investor_id,amfi_code,transaction_date,transaction_type,amount,units,kyc_status,state
INV1046,118632,2025-08-24,Redemption,12859.89,90.096,Verified,Maharashtra
INV1047,120841,2026-04-13,Redemption,61487.95,609.283,Pending,Maharashtra
INV1048,118632,2025-08-11,Lumpsum,61419.67,539.205,Verified,Maharashtra
INV1049,118632,2025-11-29,Lumpsum,81821.13,732.755,Verified,Maharashtra
INV1050,125497,2025-12-19,Lumpsum,44141.42,337.633,Verified,Maharashtra
INV1051,118632,2026-05-31,SIP,61766.33,599.491,Pending,Maharashtra
INV1052,118632,2026-01-03,SIP,79075.0,627.034,Verified,Maharashtra
INV1053,118632,2026-04-04,Lumpsum,72060.58,750.695,Verified,Maharashtra
INV1054,120503,2026-02-14,Lumpsum,40624.51,425.658,Pending,Maharashtra
INV1055,125497,2025-07-28,SIP,86893.11,663.804,Verified,Maharashtra
INV1056,118632,2025-09-05,Lumpsum,98771.13,1192.778,Verified,Maharashtra
INV1057,120503,2026-03-21,SIP,44142.23,337.561,Pending,Maharashtra
INV1058,119551,2025-10-06,Redemption,28044.37,230.885,Pending,Maharashtra
INV1059,119092,2025-09-30,Redemption,62485.18,503.064,Verified,Maharashtra
INV1060,125497,2025-07-05,Lumpsum,71724.58,499.363,Verified,Maharashtra
INV1061,119551,2026-06-11,Lumpsum,51505.21,472.906,Pending,Maharashtra
INV1062,119092,2026-05-15,Lumpsum,10190.64,94.052,Pending,Maharashtra
INV1063,125497,2026-04-02,Lumpsum,9978.52,79.416,Verified,Maharashtra
INV1064,125497,2026-05-28,Lumpsum,85869.63,1064.956,Verified,Maharashtra
INV1065,118632,2026-01-12,SIP,24084.27,249.766,Pending,Maharashtra
INV1066,120503,2026-02-27,Lumpsum,33423.49,299.992,Pending,Maharashtra
INV1067,125497,2025-10-11,SIP,25247.07,204.927,Verified,Maharashtra
INV1068,125497,2026-04-22,Lumpsum,17178.11,208.051,Verified,Maharashtra
INV1069,119092,2025-12-03,SIP,78288.14,605.116,Verified,Maharashtra
INV1070,120841,2026-03-09,Redemption,11636.0,117.675,Pending,Maharashtra
INV1071,125497,2025-09-05,Lumpsum,4414.68,49.857,Pending,Maharashtra
INV1072,119092,2025-10-23,Redemption,31957.53,276.673,Pending,Maharashtra
INV1073,118632,2025-09-22,SIP,48249.76,376.899,Pending,Maharashtra
INV1074,119551,2025-11-20,Lumpsum,97323.23,806.939,Verified,Maharashtra
INV1075,120503,2025-12-29,Redemption,66852.99,744.668,Pending,Maharashtra
INV1076,119092,2025-08-21,Lumpsum,20584.42,161.903,Pending,Maharashtra
INV1077,119092,2026-02-16,Redemption,67423.91,607.081,Verified,Maharashtra
INV1078,120841,2026-01-01,Lumpsum,66332.42,446.67,Verified,Maharashtra
INV1079,119551,2026-03-03,Lumpsum,61975.8,440.096,Verified,Maharashtra
INV1080,118632,2025-08-01,SIP,69107.91,542.636,Verified,Maharashtra
INV1081,120841,2026-05-03,SIP,57929.93,554.884,Pending,Maharashtra
INV1082,119551,2025-12-15,Lumpsum,32152.1,228.595,Verified,Maharashtra
INV1083,119092,2026-04-13,SIP,56918.12,432.208,Pending,Maharashtra
INV1084,119092,2026-03-15,Lumpsum,92604.65,836.748,Pending,Maharashtra
INV1085,119551,2025-09-19,Redemption,86955.61,818.043,Pending,Maharashtra
INV1086,120841,2026-03-28,SIP,32796.29,310.417,Verified,Maharashtra
INV1087,119092,2025-08-13,SIP,45145.02,467.204,Verified,Maharashtra
INV1088,120503,2026-03-15,Lumpsum,58912.64,641.812,Pending,Maharashtra
INV1089,119551,2025-10-03,Redemption,54465.18,371.514,Pending,Maharashtra
INV1090,120841,2026-02-28,SIP,34454.16,323.168,Pending,Maharashtra
INV1091,119092,2025-08-29,Redemption,39739.35,335.469,Pending,Maharashtra
INV1092,119551,2025-06-26,Redemption,52362.8,380.633,Verified,Maharashtra
INV1093,119092,2026-02-21,Redemption,24726.49,170.654,Verified,Maharashtra
INV1094,118632,2025-09-21,SIP,35486.46,407.425,Verified,Maharashtra
INV1095,118632,2026-05-04,Lumpsum,31075.35,228.14,Verified,Maharashtra
INV1096,119551,2026-01-18,Lumpsum,40290.57,271.553,Pending,Maharashtra
INV1097,125497,2025-07-10,Redemption,12760.65,91.044,Verified,Maharashtra
INV1098,119092,2026-01-17,Redemption,29880.19,220.455,Verified,Maharashtra
INV1099,119551,2026-05-20,Lumpsum,80696.26,680.89,Verified,Maharashtra
INV1100,119551,2026-05-09,Redemption,757.11,6.073,Verified,Maharashtra
INV1101,120841,2025-11-17,SIP,79477.51,634.488,Pending,Maharashtra
INV1102,125497,2026-02-20,Lumpsum,90052.3,859.774,Pending,Maharashtra
INV1103,120503,2025-09-05,Lumpsum,73329.83,525.352,Verified,Maharashtra
INV1104,119551,2025-07-15,Lumpsum,76782.29,848.617,Verified,Maharashtra
INV1105,119551,2026-04-17,Redemption,23905.94,169.728,Verified,Maharashtra
INV1106,119092,2026-01-26,SIP,64376.16,525.534,Verified,Maharashtra
INV1107,119551,2026-04-08,SIP,59650.4,519.722,Pending,Maharashtra
INV1108,120503,2025-10-05,SIP,67746.2,610.38,Verified,Maharashtra
INV1109,125497,2025-10-27,Redemption,99129.97,1113.975,Verified,Maharashtra
INV1110,118632,2025-11-19,Lumpsum,58049.5,585.228,Pending,Maharashtra
INV1111,118632,2025-11-05,SIP,89471.99,957.629,Verified,Maharashtra
INV1112,120503,2026-04-16,SIP,61907.0,557.878,Pending,Maharashtra
INV1113,118632,2026-06-20,Redemption,64196.74,648.581,Pending,Maharashtra
INV1114,120503,2025-08-29,SIP,45957.44,492.457,Pending,Maharashtra
INV1115,118632,2025-10-10,Lumpsum,55999.45,427.002,Pending,Maharashtra
INV1116,118632,2025-10-04,Lumpsum,56448.53,383.915,Verified,Maharashtra
INV1117,119092,2025-09-11,Redemption,20492.9,174.396,Pending,Maharashtra
INV1118,120841,2026-02-24,Redemption,75738.25,725.949,Verified,Maharashtra
INV1119,120841,2025-10-31,Redemption,40231.93,443.723,Verified,Maharashtra
INV1120,118632,2025-06-30,SIP,84282.31,723.658,Pending,Maharashtra
INV1121,120841,2025-11-06,SIP,61044.4,528.62,Pending,Maharashtra
INV1122,119092,2026-02-03,SIP,23122.05,222.505,Verified,Maharashtra
INV1123,119092,2025-10-10,Redemption,24286.01,209.94,Verified,Maharashtra
INV1124,118632,2025-12-17,Redemption,94267.51,667.931,Pending,Maharashtra
INV1125,120503,2026-02-02,Lumpsum,56874.25,529.689,Verified,Maharashtra
INV1126,125497,2026-05-14,Lumpsum,81836.25,767.381,Pending,Maharashtra
INV1127,120841,2026-02-11,Redemption,79108.03,780.716,Verified,Maharashtra
INV1128,119092,2026-01-13,Lumpsum,15802.22,165.204,Pending,Maharashtra
INV1129,118632,2025-10-12,Lumpsum,82336.82,922.265,Pending,Maharashtra
INV1130,125497,2026-01-12,Redemption,48962.66,399.899,Pending,Maharashtra
INV1131,120841,2026-05-31,SIP,37069.68,437.287,Pending,Maharashtra
INV1132,118632,2026-05-31,Redemption,96329.95,813.137,Verified,Maharashtra
INV1133,120841,2026-06-05,Lumpsum,28136.39,201.548,Verified,Maharashtra
INV1134,120503,2025-10-14,Lumpsum,65195.01,719.26,Verified,Maharashtra
INV1135,119092,2025-10-02,SIP,6287.3,42.016,Verified,Maharashtra
INV1136,125497,2026-04-03,SIP,14653.81,165.585,Pending,Maharashtra
INV1137,120841,2025-10-05,SIP,51187.5,341.777,Verified,Maharashtra
INV1138,119092,2025-07-01,SIP,62577.64,535.342,Verified,Maharashtra
INV1139,119551,2026-04-23,SIP,88717.12,795.777,Verified,Maharashtra
INV1140,120503,2026-06-18,Redemption,41705.91,302.375,Verified,Maharashtra
INV1141,119092,2026-03-31,SIP,1597.61,14.639,Verified,Maharashtra
INV1142,119092,2025-10-22,Lumpsum,26351.41,197.803,Pending,Maharashtra
INV1143,119092,2026-04-21,SIP,1706.02,17.609,Verified,Maharashtra
INV1144,119092,2025-07-22,SIP,95977.88,840.807,Verified,Maharashtra
INV1145,125497,2025-12-19,Redemption,45710.54,328.605,Verified,Maharashtra
INV1146,119092,2025-09-16,Lumpsum,15429.84,150.202,Pending,Maharashtra
INV1147,120503,2025-11-04,SIP,39750.39,354.404,Verified,Maharashtra
INV1148,119551,2026-03-04,SIP,10663.88,84.561,Verified,Maharashtra
INV1149,125497,2026-02-15,SIP,28297.09,194.988,Verified,Maharashtra
INV1150,118632,2025-12-04,Redemption,66105.72,463.385,Verified,Maharashtra
INV1151,125497,2025-07-17,SIP,15441.82,117.321,Verified,Maharashtra
INV1152,119092,2026-06-17,SIP,4283.17,32.391,Verified,Maharashtra
INV1153,119092,2026-01-24,SIP,95671.89,726.849,Pending,Maharashtra
INV1154,120841,2025-11-09,Redemption,97089.62,665.17,Verified,Maharashtra
INV1155,118632,2026-05-05,Redemption,41507.03,350.35,Pending,Maharashtra
INV1156,119551,2026-05-18,Redemption,8676.08,58.721,Verified,Maharashtra
INV1157,125497,2025-07-31,Lumpsum,66901.36,828.706,Pending,Maharashtra
INV1158,118632,2026-04-08,SIP,64568.47,551.296,Pending,Maharashtra
INV1159,119551,2025-10-02,SIP,12960.74,114.491,Pending,Maharashtra
INV1160,120841,2025-09-29,SIP,92069.57,790.61,Pending,Maharashtra
INV1161,120503,2026-06-15,Redemption,11525.39,94.55,Verified,Maharashtra
INV1162,125497,2025-08-14,Lumpsum,44220.8,359.794,Pending,Maharashtra
INV1163,118632,2025-11-24,Redemption,88749.03,708.82,Verified,Maharashtra
INV1164,119551,2026-05-24,Lumpsum,86206.31,619.049,Verified,Maharashtra
INV1165,119551,2026-01-27,SIP,22495.81,151.499,Pending,Maharashtra
INV1166,120841,2026-02-10,Redemption,65788.1,711.838,Pending,Maharashtra
INV1167,120841,2025-11-02,SIP,93770.11,1129.459,Pending,Maharashtra
INV1168,119551,2026-05-27,SIP,72735.0,529.965,Verified,Maharashtra
INV1169,120503,2026-03-29,SIP,41634.94,312.873,Verified,Maharashtra
INV1170,120503,2025-12-16,Lumpsum,56719.69,442.355,Verified,Maharashtra
INV1171,118632,2025-09-17,SIP,16427.13,146.267,Verified,Maharashtra
INV1172,118632,2025-10-07,Redemption,99185.09,1140.813,Pending,Maharashtra
INV1173,119551,2026-06-15,SIP,73440.59,596.501,Verified,Maharashtra
INV1174,119551,2026-03-05,SIP,54100.22,463.619,Pending,Maharashtra
INV1175,119551,2025-08-15,Lumpsum,83351.71,1031.935,Verified,Maharashtra
INV1176,119551,2026-06-05,Redemption,75748.33,545.195,Pending,Maharashtra
INV1177,120503,2026-03-16,Lumpsum,37146.8,333.446,Pending,Maharashtra
INV1178,120841,2025-11-10,Lumpsum,39456.81,362.376,Verified,Maharashtra
INV1179,119092,2025-12-05,Lumpsum,17105.07,184.536,Verified,Maharashtra
INV1180,118632,2025-09-25,Redemption,87489.12,756.122,Verified,Maharashtra
INV1181,119092,2025-07-24,Lumpsum,56367.72,472.7,Pending,Maharashtra
INV1182,119551,2026-01-18,Lumpsum,60413.49,740.313,Verified,Maharashtra
INV1183,125497,2025-08-10,Lumpsum,15325.47,119.098,Pending,Maharashtra
INV1184,119551,2026-02-28,Redemption,82600.5,709.5,Verified,Maharashtra
INV1185,118632,2025-07-10,Redemption,73682.81,763.473,Verified,Maharashtra
INV1186,118632,2026-03-04,Redemption,80236.01,600.294,Verified,Maharashtra
INV1187,118632,2026-02-27,SIP,17761.27,142.513,Verified,Maharashtra
INV1188,120503,2025-12-09,Redemption,84060.33,786.579,Verified,Maharashtra
INV1189,119551,2025-08-04,SIP,56772.22,382.111,Verified,Maharashtra
INV1190,119092,2026-03-10,SIP,58788.11,485.637,Pending,Maharashtra
INV1191,125497,2026-05-05,SIP,6085.54,43.564,Pending,Maharashtra
INV1192,120503,2026-04-17,SIP,46442.41,408.596,Verified,Maharashtra
INV1193,119551,2025-12-15,SIP,70748.89,569.72,Pending,Maharashtra
INV1194,119551,2026-02-16,SIP,1199.41,14.277,Pending,Maharashtra
INV1195,118632,2025-06-26,SIP,75261.82,597.378,Verified,Maharashtra
INV1196,120841,2025-06-26,Lumpsum,28577.61,290.661,Verified,Maharashtra
INV1197,118632,2025-09-28,Lumpsum,27559.0,206.965,Pending,Maharashtra
INV1198,125497,2025-12-02,Lumpsum,7003.93,61.368,Verified,Maharashtra
INV1199,118632,2025-07-22,Lumpsum,56418.29,541.367,Pending,Maharashtra
INV1200,125497,2026-06-18,Lumpsum,90033.42,1104.33,Verified,Maharashtra
INV1201,118632,2026-02-02,Redemption,39648.06,287.407,Pending,Maharashtra
INV1202,125497,2026-01-11,Lumpsum,97965.31,1086.722,Verified,Maharashtra
INV1203,119551,2025-08-24,Redemption,31215.52,213.377,Verified,Maharashtra
INV1204,119092,2026-01-15,Lumpsum,72140.8,660.272,Verified,Maharashtra
INV1205,120841,2025-09-09,SIP,98061.42,1022.339,Pending,Maharashtra
INV1206,120503,2026-01-07,Redemption,70929.59,600.855,Pending,Maharashtra
INV1207,120841,2025-12-09,Lumpsum,48727.28,531.933,Pending,Maharashtra
INV1208,120841,2026-03-05,SIP,67067.72,596.897,Verified,Maharashtra
INV1209,119092,2026-01-09,Lumpsum,29413.46,217.736,Pending,Maharashtra
INV1210,118632,2026-04-27,Lumpsum,97817.15,721.476,Verified,Maharashtra
INV1211,119092,2026-06-05,Lumpsum,33356.4,250.852,Pending,Maharashtra
INV1212,119092,2026-04-07,Lumpsum,16581.17,169.395,Verified,Maharashtra
INV1213,125497,2026-01-08,Lumpsum,75197.59,631.601,Pending,Maharashtra
INV1214,125497,2025-10-20,Lumpsum,34694.49,347.744,Pending,Maharashtra
INV1215,118632,2025-11-10,Lumpsum,37507.3,336.03,Verified,Maharashtra
INV1216,119551,2025-12-10,Redemption,19963.12,214.494,Verified,Maharashtra
INV1217,118632,2026-04-01,Redemption,64446.13,687.727,Pending,Maharashtra
INV1218,119551,2026-05-14,Lumpsum,79429.5,777.4,Verified,Maharashtra
INV1219,119092,2025-10-09,Redemption,28052.0,188.463,Verified,Maharashtra
INV1220,118632,2026-02-16,Redemption,18830.37,132.069,Verified,Maharashtra
INV1221,119092,2025-10-08,Lumpsum,61722.15,719.016,Verified,Maharashtra
INV1222,118632,2025-08-27,Redemption,96729.1,885.447,Verified,Maharashtra
INV1223,119092,2026-06-04,Lumpsum,63649.79,694.739,Pending,Maharashtra
INV1224,119551,2025-11-14,Redemption,16642.22,205.758,Verified,Maharashtra
INV1225,120503,2025-07-07,SIP,82384.37,870.11,Pending,Maharashtra
INV1226,119092,2025-11-10,SIP,34015.63,337.61,Pending,Maharashtra
INV1227,119551,2026-02-11,Redemption,76078.45,510.03,Pending,Maharashtra
INV1228,118632,2025-06-26,SIP,36100.93,315.031,Verified,Maharashtra
INV1229,118632,2025-09-12,Lumpsum,24811.82,282.254,Pending,Maharashtra
INV1230,120841,2026-01-13,Lumpsum,35120.17,314.91,Pending,Maharashtra
INV1231,120503,2025-09-19,Lumpsum,73937.88,541.933,Pending,Maharashtra
INV1232,120503,2025-09-09,SIP,67779.67,659.609,Verified,Maharashtra
INV1233,120841,2025-12-06,SIP,83785.59,841.649,Verified,Maharashtra
INV1234,120503,2026-06-21,Lumpsum,51509.15,508.121,Verified,Maharashtra
INV1235,119092,2025-11-10,SIP,30742.67,244.53,Pending,Maharashtra
INV1236,118632,2026-05-17,SIP,78950.51,623.873,Pending,Maharashtra
INV1237,120503,2025-11-12,Lumpsum,67237.87,563.93,Verified,Maharashtra
INV1238,119551,2026-05-10,Lumpsum,23059.67,216.091,Pending,Maharashtra
INV1239,120503,2026-01-29,Lumpsum,80334.26,707.573,Verified,Maharashtra
INV1240,125497,2025-07-16,Lumpsum,91848.62,922.151,Verified,Maharashtra
INV1241,120503,2026-03-07,Redemption,82690.89,641.253,Verified,Maharashtra
INV1242,120841,2026-04-23,SIP,30822.73,223.26,Verified,Maharashtra
INV1243,118632,2026-02-25,Lumpsum,12464.6,147.016,Verified,Maharashtra
INV1244,120841,2025-10-03,SIP,47142.41,466.348,Verified,Maharashtra
INV1245,119092,2025-11-10,SIP,30341.95,229.822,Verified,Maharashtra
INV1246,118632,2025-10-04,Lumpsum,66946.57,550.885,Verified,Maharashtra
INV1247,119092,2026-04-24,SIP,28886.39,262.501,Verified,Maharashtra
INV1248,120841,2026-05-06,SIP,52383.85,620.259,Verified,Maharashtra
INV1249,120503,2026-01-04,SIP,73887.79,632.781,Verified,Maharashtra
INV1250,118632,2026-05-21,SIP,6936.35,47.216,Verified,Maharashtra
INV1251,118632,2026-04-10,Lumpsum,77501.03,634.554,Pending,Maharashtra
INV1252,118632,2026-03-24,Lumpsum,60905.41,490.415,Verified,Maharashtra
INV1253,119092,2025-12-28,Redemption,51480.2,589.722,Pending,Maharashtra
INV1254,118632,2026-04-19,Lumpsum,26636.23,269.026,Verified,Maharashtra
INV1255,125497,2025-10-11,Redemption,40993.71,287.87,Pending,Maharashtra
INV1256,125497,2026-04-25,Lumpsum,5042.05,56.146,Pending,Maharashtra
INV1257,125497,2026-03-24,SIP,48463.09,517.067,Verified,Maharashtra
INV1258,119092,2025-07-20,SIP,51898.98,645.627,Pending,Maharashtra
INV1259,125497,2025-12-17,Redemption,84470.5,845.182,Verified,Maharashtra
INV1260,119092,2025-10-23,SIP,22241.73,206.37,Pending,Maharashtra
INV1261,120841,2025-11-04,SIP,81759.88,818.259,Verified,Maharashtra
INV1262,119092,2025-08-22,Redemption,50987.49,361.113,Verified,Maharashtra
INV1263,120503,2026-01-29,Redemption,13583.17,136.884,Verified,Maharashtra
INV1264,118632,2026-06-06,SIP,71546.25,583.797,Verified,Maharashtra
INV1265,119092,2026-03-27,Redemption,95426.3,731.25,Verified,Maharashtra
INV1266,120503,2026-01-02,Redemption,71898.43,520.735,Verified,Maharashtra
INV1267,118632,2025-07-22,Lumpsum,11891.52,111.272,Verified,Maharashtra
INV1268,118632,2026-04-04,SIP,12541.99,114.721,Verified,Maharashtra
INV1269,125497,2025-07-28,Lumpsum,32447.57,244.907,Pending,Maharashtra
INV1270,119092,2026-03-12,Lumpsum,36511.04,300.363,Pending,Maharashtra
INV1271,120841,2025-11-27,Redemption,91372.05,743.587,Verified,Maharashtra
INV1272,118632,2026-01-21,SIP,90294.1,1066.662,Pending,Maharashtra
INV1273,119551,2026-04-05,SIP,42492.41,422.168,Verified,Maharashtra
INV1274,119092,2025-07-03,SIP,80898.25,850.454,Verified,Maharashtra
INV1275,125497,2025-09-04,SIP,69403.04,630.391,Verified,Maharashtra
INV1276,119092,2026-04-13,SIP,86243.38,710.875,Pending,Maharashtra
INV1277,120503,2025-12-12,Redemption,76055.43,874.993,Verified,Maharashtra
INV1278,119551,2025-08-16,Lumpsum,70705.79,551.577,Verified,Maharashtra
INV1279,119551,2026-01-20,SIP,64751.18,778.873,Verified,Maharashtra
INV1280,125497,2026-05-09,Redemption,3032.05,24.216,Verified,Maharashtra
INV1281,120503,2026-02-19,Redemption,31466.14,246.99,Verified,Maharashtra
INV1282,119551,2025-12-31,Lumpsum,45673.16,356.323,Verified,Maharashtra
INV1283,119551,2025-08-04,Lumpsum,3239.9,28.08,Verified,Maharashtra
INV1284,119092,2025-10-08,Lumpsum,4380.1,53.307,Verified,Maharashtra
INV1285,119551,2026-05-05,Lumpsum,31664.02,350.676,Verified,Maharashtra
INV1286,120841,2026-02-23,SIP,37354.5,351.617,Verified,Maharashtra
INV1287,120841,2025-12-11,Lumpsum,82757.38,555.863,Verified,Maharashtra
INV1288,120503,2026-02-19,SIP,38858.43,374.261,Verified,Maharashtra
INV1289,119092,2025-08-24,SIP,54399.63,407.998,Verified,Maharashtra
INV1290,120503,2026-05-14,Lumpsum,26303.82,280.953,Verified,Maharashtra
INV1291,119092,2026-06-04,Redemption,55992.03,536.788,Verified,Maharashtra
INV1292,119092,2026-03-06,Lumpsum,49145.33,454.525,Verified,Maharashtra
INV1293,120503,2025-10-16,Lumpsum,62528.89,521.698,Pending,Maharashtra
INV1294,120503,2026-01-11,Redemption,39816.21,481.092,Verified,Maharashtra
INV1295,119092,2026-01-12,Lumpsum,23161.1,157.044,Verified,Maharashtra
INV1296,119551,2025-10-01,Lumpsum,53571.97,380.219,Verified,Maharashtra
INV1297,120841,2026-06-20,SIP,68235.21,605.595,Pending,Maharashtra
INV1298,118632,2026-04-16,SIP,94936.66,819.103,Pending,Maharashtra
INV1299,119551,2025-11-09,Lumpsum,52483.19,439.595,Verified,Maharashtra
INV1300,120503,2025-12-04,SIP,36545.67,279.401,Verified,Maharashtra
INV1301,120841,2025-11-18,Lumpsum,44623.86,365.326,Verified,Maharashtra
INV1302,118632,2026-01-13,Redemption,11371.79,81.356,Verified,Maharashtra
INV1303,125497,2025-11-12,Redemption,31533.96,322.027,Verified,Maharashtra
INV1304,119092,2025-12-18,Redemption,73535.96,551.32,Pending,Maharashtra
INV1305,119092,2025-11-23,Redemption,87268.81,746.488,Pending,Maharashtra
INV1306,119092,2025-12-03,Lumpsum,33674.03,256.44,Pending,Maharashtra
INV1307,125497,2025-11-15,Redemption,99059.33,1053.312,Pending,Maharashtra
INV1308,125497,2025-08-02,Lumpsum,1924.37,14.617,Verified,Maharashtra
INV1309,119092,2026-06-24,Redemption,14713.6,110.845,Verified,Maharashtra
INV1310,118632,2026-02-17,SIP,76728.54,551.153,Pending,Maharashtra
INV1311,125497,2025-09-08,Lumpsum,28393.28,221.617,Verified,Maharashtra
INV1312,120841,2026-04-11,Redemption,55138.47,443.784,Verified,Maharashtra
INV1313,119092,2025-09-08,SIP,95533.96,819.469,Pending,Maharashtra
INV1314,125497,2026-01-14,Lumpsum,24602.01,216.799,Pending,Maharashtra
INV1315,119551,2026-06-12,Redemption,21505.69,153.133,Verified,Maharashtra
INV1316,120841,2026-02-25,Lumpsum,26983.72,330.919,Verified,Maharashtra
INV1317,119092,2025-09-03,SIP,55123.55,578.123,Verified,Maharashtra
INV1318,119092,2026-05-03,Redemption,64957.84,733.122,Verified,Maharashtra
INV1319,120841,2026-04-12,Lumpsum,82232.48,692.041,Pending,Maharashtra
INV1320,120841,2025-12-29,Lumpsum,82342.21,604.226,Pending,Maharashtra
INV1321,120841,2025-12-16,SIP,91720.77,703.133,Verified,Maharashtra
INV1322,120841,2025-09-08,Lumpsum,82465.92,631.823,Verified,Maharashtra
INV1323,118632,2026-05-07,Redemption,10723.45,115.018,Verified,Maharashtra
INV1324,119551,2025-09-24,Lumpsum,70844.16,839.502,Pending,Maharashtra
INV1325,125497,2025-08-04,SIP,8730.19,60.141,Verified,Maharashtra
INV1326,125497,2026-03-10,Redemption,56715.94,403.218,Pending,Maharashtra
INV1327,120503,2026-02-04,Redemption,91039.34,855.534,Verified,Maharashtra
INV1328,119092,2025-12-21,Redemption,49634.5,463.288,Verified,Maharashtra
INV1329,125497,2026-02-25,Redemption,934.15,10.188,Verified,Maharashtra
INV1330,120503,2026-06-12,SIP,96621.73,724.993,Verified,Maharashtra
INV1331,118632,2025-09-17,Lumpsum,27262.32,240.666,Verified,Maharashtra
INV1332,118632,2025-09-05,Lumpsum,10928.4,95.112,Verified,Maharashtra
INV1333,118632,2026-05-15,Redemption,46041.11,486.58,Pending,Maharashtra
INV1334,120503,2025-11-01,SIP,5709.32,42.693,Pending,Maharashtra
INV1335,119092,2026-03-17,Redemption,72105.55,680.361,Pending,Maharashtra
INV1336,120503,2025-08-19,Lumpsum,21966.2,172.356,Verified,Maharashtra
INV1337,119092,2026-01-14,SIP,14091.79,112.183,Pending,Maharashtra
INV1338,120503,2026-05-28,Lumpsum,64660.84,600.607,Pending,Maharashtra
INV1339,120841,2026-04-21,SIP,29097.25,275.164,Verified,Maharashtra
INV1340,125497,2026-02-27,Lumpsum,51828.26,524.942,Verified,Maharashtra
INV1341,119551,2026-05-10,SIP,38219.86,368.867,Pending,Maharashtra
INV1342,125497,2025-07-04,Lumpsum,41657.45,363.819,Verified,Maharashtra
INV1343,120841,2026-06-08,Lumpsum,27034.18,206.778,Verified,Maharashtra
